HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
0.0,60.7309,17.9248,0.0248,25.4906,64.7093,1.947,55.4563,55.0
68.23,59.6508,18.0082,0.0252,25.4906,64.7093,1.943,55.4563,55.0
0.0,61.0909,18.0916,0.0252,23.5069,65.7894,1.939,54.1962,55.0
0.0,59.9208,17.9248,0.0255,24.8192,64.5653,1.939,54.1962,55.0
81.76,59.9208,18.2195,0.0249,23.629,64.5653,1.8747,56.1044,55.0
0.0,60.7309,18.1321,0.0228,23.629,65.4293,1.935,53.8362,55.0
16.07,59.7408,18.1893,0.0239,24.4224,64.4392,1.939,53.8362,55.0
65.315,60.8209,18.1893,0.0222,21.92,65.6274,1.8667,53.8362,55.0
0.0,60.8209,18.2195,0.0251,21.92,64.7993,1.935,55.0963,55.0
71.0,59.9208,18.1321,0.0251,22.5914,64.7993,1.9069,55.0963,55.0
0.0,60.5509,17.9574,0.0251,20.974,64.7993,1.931,55.0963,55.0
25.42,59.7408,17.845,0.0251,22.3167,64.7993,1.943,55.0963,55.0
28.945,61.0909,17.845,0.0251,19.6007,66.0774,1.8908,55.0963,55.0
0.0,60.1908,17.845,0.0263,21.6148,64.6733,1.943,55.0963,55.0
81.71,60.1908,17.9314,0.0249,21.096,64.6733,1.8908,55.0963,55.0
0.0,60.1908,17.818,0.0249,20.2721,65.4653,1.931,55.0963,55.0
21.745,60.1908,17.6202,0.0252,21.859,64.2772,1.939,55.0963,55.0
71.045,60.1908,17.7326,0.0246,20.5467,65.6274,1.8788,55.0963,55.0
0.0,60.1908,17.6202,0.0251,21.4012,64.9613,1.935,55.0963,55.0
52.67,60.1908,17.7326,0.0243,22.3473,64.2052,1.935,55.0963,55.0
10.475,61.1989,17.5912,0.0248,19.9364,66.1134,1.8948,55.7264,55.0
0.0,60.0108,17.7326,0.0262,21.8895,64.6373,1.939,55.7264,55.0
85.8,60.0108,17.7326,0.0246,20.5772,65.3213,1.8587,55.7264,55.0
0.0,60.0108,17.7326,0.0251,21.5538,65.3213,1.931,55.7264,55.0
40.365,60.0108,17.7326,0.0248,23.3238,64.3672,1.943,55.7264,55.0
11.735,60.8209,17.6202,0.0243,21.096,65.8254,1.8908,55.7264,55.0
3.13,59.7408,17.5345,0.0243,23.0797,64.5113,1.943,55.7264,55.0
85.96,59.7408,17.6174,0.0228,21.7979,65.3213,1.8547,55.7264,55.0
0.0,60.3708,17.585,0.0243,21.7979,65.3213,1.935,55.7264,55.0
