HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
38.155,62.9271,16.0711,0.025,0.0364,13.9408,69.2817,61.0282,2.3565,58.5527,58.0
100.0,62.099,15.8646,0.025,0.0339,14.8563,68.3276,61.0282,2.3204,58.5527,58.0
50.25,62.099,15.9904,0.025,0.0339,15.4361,68.3276,61.0282,2.4006,58.5527,58.0
67.73,62.7471,15.9904,0.025,0.0356,13.9103,69.4077,61.0282,2.3043,58.5527,58.0
100.0,61.2889,16.1028,0.025,0.0356,15.7413,67.7696,61.0282,2.3204,58.5527,58.0
33.475,62.8371,15.9904,0.025,0.0361,14.1544,69.2457,61.0282,2.3846,56.4644,58.0
100.0,61.919,15.8218,0.025,0.0361,14.6427,68.4897,61.0282,2.3123,57.4545,58.0
77.35,61.919,16.0038,0.025,0.035,15.9549,67.4995,61.0282,2.3685,59.0027,58.0
39.055,63.0171,15.9342,0.025,0.0355,13.9408,69.4798,61.0282,2.3806,59.0027,58.0
100.0,61.739,15.9342,0.025,0.0355,15.2836,68.4897,61.0282,2.3083,59.0027,58.0
29.0,61.739,16.0038,0.025,0.0336,15.2836,68.4897,61.0282,2.4047,56.5545,58.0
86.475,62.459,16.0038,0.025,0.0355,14.1849,69.4437,61.0282,2.3123,58.8227,58.0
100.0,61.4689,15.8904,0.025,0.0364,15.4667,67.9676,61.0282,2.3204,56.3744,58.0
41.1,62.369,15.8904,0.025,0.0364,14.7342,67.9676,61.0282,2.4006,57.9226,58.0
100.0,62.369,15.8904,0.025,0.0359,14.1544,68.9577,61.0282,2.3123,57.0045,58.0
59.83,61.2889,15.9342,0.025,0.0359,15.3751,67.5356,61.0282,2.4047,58.5527,58.0
61.715,62.9271,15.8218,0.025,0.0359,13.2694,69.1197,61.0282,2.3324,58.5527,58.0
100.0,61.919,15.6417,0.025,0.0344,13.9713,68.2016,61.0282,2.3204,59.2727,58.0
27.985,61.919,15.7532,0.025,0.0335,13.9713,68.2016,61.0282,2.4167,56.7345,58.0
76.94,63.1071,15.8646,0.025,0.0352,12.4759,69.1197,61.0282,2.3364,57.5446,58.0
90.625,62.189,16.0317,0.025,0.0368,13.3304,68.2916,61.0282,2.3324,59.2727,58.0
35.835,63.0171,16.1431,0.025,0.0368,13.3304,68.2916,61.0282,2.4127,56.5545,58.0
62.43,63.8272,16.2919,0.025,0.035,11.8351,69.4437,61.0282,2.3364,58.0126,58.0
100.0,62.9271,16.1439,0.025,0.0365,12.9032,68.4897,61.0282,2.3284,58.9127,58.0
25.76,62.9271,16.2726,0.025,0.0341,13.2694,68.4897,61.0282,2.4207,57.7246,58.0
75.31,63.8272,16.3821,0.025,0.0347,11.7435,69.3537,61.0282,2.3204,59.2727,58.0
100.0,62.459,16.6009,0.025,0.0368,13.361,67.8596,61.0282,2.3404,56.7345,58.0
20.545,63.2871,16.7946,0.025,0.0353,12.9337,67.8596,61.0282,2.4047,58.1926,58.0
100.0,63.2871,16.7946,0.025,0.0361,12.7811,68.6877,61.0282,2.3163,59.7408,58.0
46.2,63.2871,16.7147,0.025,0.0361,14.0934,67.4995,61.0282,2.4087,56.7345,58.0
48.105,64.7453,16.8477,0.025,0.0356,12.4149,69.2817,61.0282,2.3645,58.9127,58.0
100.0,63.8272,16.9542,0.025,0.0361,13.0253,68.2916,61.0282,2.3163,57.8326,58.0
46.725,63.8272,17.0295,0.025,0.035,13.2389,68.2916,61.0282,2.4006,59.0927,58.0
